id,nome_algoritmo,tam_dado,temp_exec,hardware_id
181,Bubble Sort,10000,4.094,2
182,Bubble Sort,10000,5.211,2
183,Bubble Sort,10000,4.293,2
184,Bubble Sort,10000,4.062,2
185,Bubble Sort,10000,4.525,2
186,Bubble Sort,10000,4.168,2
187,Bubble Sort,10000,4.033,2
188,Bubble Sort,10000,5.445,2
189,Bubble Sort,10000,5.227,2
190,Bubble Sort,10000,5.25,2
191,Bubble Sort,100000,10.81,2
192,Bubble Sort,100000,8.792,2
193,Bubble Sort,100000,8.828,2
194,Bubble Sort,100000,8.657,2
195,Bubble Sort,100000,8.819,2
196,Bubble Sort,100000,9.011,2
197,Bubble Sort,100000,8.818,2
198,Bubble Sort,100000,8.951,2
199,Bubble Sort,100000,8.855,2
200,Bubble Sort,100000,8.922,2
201,Merge Sort,10000,5.232,2
202,Merge Sort,10000,4.136,2
203,Merge Sort,10000,4.141,2
204,Merge Sort,10000,4.182,2
205,Merge Sort,10000,4.079,2
206,Merge Sort,10000,4.781,2
207,Merge Sort,10000,4.127,2
208,Merge Sort,10000,4.172,2
209,Merge Sort,10000,4.059,2
210,Merge Sort,10000,4.305,2
211,Quick Sort,100000,152.5,2
212,Quick Sort,100000,146.5,2
213,Quick Sort,100000,126.9,2
214,Quick Sort,100000,132.7,2
215,Quick Sort,100000,154.2,2
216,Quick Sort,100000,160.0,2
